SubjectID,Age,FootSide,Foot_Length_mm,Foot_Breadth_mm,Ball_Breadth_mm,Heel_Breadth_mm,Toe1_Length_mm,Toe2_Length_mm,Toe3_Length_mm,Toe4_Length_mm,Toe5_Length_mm,Midfoot_Width_mm,Foot_Index_pct,Arch_Index,Heel_Angle_deg,Toe_Angle_deg,Sex
S01537,18,Left,278.9,108.0,93.1,66.3,46.1,42.9,36.5,34.8,27.2,30.5,38.72,0.11,19.4,11.6,1
S01538,22,Right,231.8,98.7,76.4,62.9,37.0,35.2,32.5,28.9,24.8,31.2,42.58,0.14,14.9,12.6,0
S01539,18,Left,266.1,101.8,95.5,65.1,45.6,40.2,38.6,30.8,28.1,31.5,38.26,0.12,25.9,14.0,1
S01540,34,Left,221.7,87.0,88.6,58.0,34.5,33.1,29.6,28.1,24.3,29.4,39.24,0.13,17.9,10.4,0
S01541,31,Right,238.2,86.3,87.6,58.7,39.8,35.5,29.8,30.1,25.5,31.2,36.23,0.13,22.2,12.3,0
S01542,22,Right,260.9,110.3,94.2,71.2,44.3,36.3,38.3,34.1,28.4,32.7,42.28,0.12,20.5,14.7,1
S01543,25,Right,255.7,100.1,82.1,69.6,40.2,38.5,35.4,32.0,25.6,29.5,39.15,0.12,20.7,9.4,0
S01544,36,Left,265.5,104.9,98.1,73.2,43.7,37.0,35.5,34.0,30.2,33.0,39.51,0.12,21.7,11.3,1
S01545,35,Left,245.7,100.4,88.9,63.3,37.6,37.6,36.2,32.4,26.0,28.3,40.86,0.12,15.3,12.6,0
S01546,19,Right,270.8,106.5,92.6,63.9,44.2,42.2,38.0,34.7,28.8,32.4,39.33,0.12,23.1,13.7,1
S01547,25,Left,252.2,92.2,86.8,64.9,39.7,39.4,35.9,30.7,30.0,31.0,36.56,0.12,13.6,11.4,0
S01548,32,Right,241.1,89.3,84.3,60.7,37.2,36.4,30.5,28.0,26.3,30.4,37.04,0.13,22.6,13.2,0
S01549,22,Left,268.5,101.8,95.6,66.6,45.4,43.7,37.3,33.0,33.0,30.6,37.91,0.11,20.4,14.5,1
S01550,30,Right,260.0,100.4,87.3,65.7,41.6,39.6,32.5,31.7,28.8,27.2,38.62,0.1,20.8,6.1,0
S01551,28,Right,239.8,97.1,80.6,63.1,39.4,35.1,33.0,30.3,24.5,27.4,40.49,0.11,22.8,13.1,0
S01552,25,Left,228.2,93.0,89.4,60.4,34.0,32.0,33.0,29.1,22.8,25.5,40.75,0.11,18.1,6.3,0
S01553,24,Right,274.4,89.6,87.7,60.5,43.0,41.3,36.3,31.2,28.1,33.6,32.65,0.12,19.5,9.8,0
S01554,28,Right,247.4,101.9,86.6,58.5,37.8,35.4,35.1,30.6,28.3,28.4,41.19,0.12,17.2,11.2,0
S01555,20,Left,265.1,102.7,95.8,68.7,41.1,38.0,37.4,32.9,27.3,29.4,38.74,0.11,18.1,11.3,1
S01556,18,Left,266.1,102.3,98.7,67.2,42.6,37.9,37.4,31.1,30.2,32.0,38.44,0.12,20.8,12.6,1
S01557,26,Right,244.5,98.4,87.2,63.2,37.3,36.3,35.1,30.3,27.2,29.2,40.25,0.12,21.4,6.2,0
S01558,25,Left,285.1,105.0,90.3,67.3,44.5,39.4,40.4,34.8,24.6,31.5,36.83,0.11,22.8,15.9,1
S01559,24,Right,257.8,90.0,79.3,54.1,40.6,38.5,35.4,32.2,28.5,26.6,34.91,0.1,18.5,4.5,0
S01560,31,Left,256.9,95.0,79.4,59.6,39.6,40.0,36.0,31.3,28.6,26.4,36.98,0.1,17.7,13.1,0
S01561,25,Right,281.2,102.6,93.7,64.9,44.7,42.0,40.2,32.2,33.0,32.5,36.49,0.12,19.1,10.4,1
S01562,27,Right,265.5,97.1,94.4,68.2,43.7,42.2,36.2,30.8,27.3,29.5,36.57,0.11,22.6,16.7,1
S01563,24,Right,261.5,102.0,82.5,60.5,42.0,38.1,39.5,30.2,24.9,29.2,39.01,0.11,18.2,5.4,0
S01564,27,Left,290.3,99.0,92.4,66.9,46.3,43.1,44.4,33.8,30.3,34.3,34.1,0.12,20.2,12.8,1
S01565,31,Left,250.8,91.5,80.9,63.2,40.6,37.8,37.3,32.3,32.4,29.2,36.48,0.12,24.5,9.9,0
S01566,18,Right,255.9,112.9,102.5,68.3,40.8,37.5,31.7,31.2,27.2,29.7,44.12,0.12,23.2,12.3,1
S01567,29,Left,239.7,94.1,83.9,65.9,38.8,36.6,34.3,31.2,22.5,28.6,39.26,0.12,22.0,10.3,0
S01568,18,Right,282.4,106.2,98.5,68.7,45.7,42.7,38.9,35.6,30.7,30.5,37.61,0.11,27.3,13.0,1
S01569,21,Right,241.7,97.8,92.1,57.8,39.4,35.6,33.9,30.2,25.5,27.8,40.46,0.12,21.4,10.3,0
S01570,28,Left,277.8,106.1,89.6,65.8,43.1,38.1,38.6,33.0,30.9,30.8,38.19,0.11,18.6,9.6,1
S01571,22,Right,229.2,96.4,92.0,60.1,37.6,33.8,31.1,30.3,25.9,30.6,42.06,0.13,23.7,10.7,0
S01572,26,Right,277.5,105.1,94.7,67.0,43.6,41.1,38.7,34.2,31.5,29.3,37.87,0.11,20.2,10.5,1
S01573,21,Left,260.4,92.2,83.3,59.9,40.6,39.6,34.7,34.3,26.9,30.5,35.41,0.12,25.8,13.5,0
S01574,19,Right,240.6,96.8,85.2,57.1,34.7,34.3,30.6,27.8,25.1,30.6,40.23,0.13,16.2,6.3,0
S01575,21,Right,266.7,102.8,95.2,67.6,43.6,40.1,35.4,35.2,28.2,31.8,38.55,0.12,23.5,9.9,1
S01576,34,Right,273.6,106.6,93.8,68.3,44.2,39.9,34.9,33.0,31.8,30.9,38.96,0.11,22.9,11.4,1
S01577,18,Left,267.1,99.7,91.3,65.8,46.1,42.1,36.5,38.2,26.6,30.5,37.33,0.11,25.5,12.1,1
S01578,19,Right,247.7,96.9,86.4,56.8,41.1,37.8,34.4,28.8,26.0,29.6,39.12,0.12,21.6,7.9,0
S01579,35,Left,243.0,89.9,88.1,60.4,38.3,37.2,35.1,30.4,22.3,29.2,37.0,0.12,20.7,15.2,0
S01580,25,Left,243.8,100.4,73.7,58.2,36.0,34.0,37.3,31.3,28.7,28.8,41.18,0.12,22.3,6.5,0
S01581,31,Right,260.2,105.9,96.5,68.0,42.7,37.5,34.0,30.3,28.9,32.3,40.7,0.12,23.9,11.2,1
S01582,23,Left,272.1,95.0,90.4,68.5,45.2,37.8,36.8,37.9,29.7,33.9,34.91,0.12,23.0,13.1,1
S01583,19,Left,225.7,89.5,84.9,60.8,35.8,32.7,30.4,27.9,24.8,25.4,39.65,0.11,22.6,7.1,0
S01584,20,Left,239.1,93.3,99.3,66.8,37.4,37.0,31.8,30.1,26.4,30.1,39.02,0.13,22.9,13.5,1
S01585,23,Right,239.5,90.8,82.9,60.9,41.6,34.4,33.2,31.8,28.4,27.4,37.91,0.11,22.6,12.6,0
S01586,34,Left,241.7,99.5,96.1,66.1,38.1,37.6,32.8,29.2,26.0,30.4,41.17,0.13,19.5,11.6,1
S01587,18,Left,241.0,103.5,89.3,58.6,39.4,31.2,34.8,29.0,26.9,29.1,42.95,0.12,23.1,9.3,0
S01588,29,Right,286.8,108.4,96.6,62.2,44.7,41.8,35.1,37.3,34.9,35.1,37.8,0.12,18.9,12.2,1
S01589,32,Left,267.0,106.0,91.8,75.5,42.9,38.2,34.1,34.1,27.8,30.1,39.7,0.11,17.4,12.1,1
S01590,25,Right,250.3,98.3,89.2,61.6,40.2,39.4,36.6,29.2,31.1,31.5,39.27,0.13,17.4,6.2,0
S01591,32,Right,247.5,87.1,89.8,54.8,40.1,38.9,32.0,29.2,27.6,29.5,35.19,0.12,18.5,9.4,0
S01592,25,Right,232.9,100.5,84.4,63.5,36.7,33.4,32.4,28.8,23.4,32.6,43.15,0.14,18.1,11.9,0
S01593,30,Right,254.9,112.7,94.8,74.3,41.5,37.0,35.1,34.2,26.6,32.2,44.21,0.13,23.3,13.2,1
S01594,19,Left,264.8,97.0,98.2,67.8,46.1,38.3,38.5,33.0,28.9,30.4,36.63,0.12,19.5,12.7,1
S01595,26,Left,226.1,84.1,88.1,61.6,37.1,31.2,30.2,31.0,23.0,30.2,37.2,0.13,18.0,11.0,0
S01596,23,Left,262.8,98.2,83.7,63.7,42.9,39.3,36.2,33.4,30.0,33.4,37.37,0.13,19.4,9.7,0
S01597,18,Left,269.4,104.3,90.9,69.3,40.0,36.3,36.2,32.9,31.9,33.4,38.72,0.12,21.7,11.6,1
S01598,20,Left,262.6,108.4,82.2,64.0,44.0,37.9,35.3,30.9,26.6,26.0,41.28,0.1,20.9,12.9,1
S01599,26,Right,260.0,100.2,89.4,62.8,46.1,40.1,38.3,32.9,26.9,32.3,38.54,0.12,29.0,13.0,1
S01600,24,Left,253.1,91.6,87.4,57.2,41.3,37.4,32.0,30.6,32.3,29.4,36.19,0.12,26.9,7.1,0
S01601,29,Right,239.6,108.2,98.2,67.8,37.2,32.9,35.0,35.4,26.6,31.6,45.16,0.13,26.5,8.6,1
S01602,30,Right,279.7,112.2,96.2,70.5,45.7,39.5,36.5,30.2,30.3,32.3,40.11,0.12,17.3,14.6,1
S01603,24,Left,259.2,100.2,97.1,62.6,38.8,40.3,35.0,31.8,26.4,29.3,38.66,0.11,17.2,11.0,1
S01604,26,Right,276.0,109.3,94.2,74.5,41.1,41.2,35.3,35.9,26.9,28.3,39.6,0.1,20.1,12.5,1
S01605,21,Right,263.0,96.0,88.0,66.5,43.5,36.0,35.1,34.5,31.4,30.4,36.5,0.12,16.0,14.1,1
S01606,19,Right,263.2,102.5,87.3,62.3,41.4,37.3,35.7,36.8,27.8,29.9,38.94,0.11,21.1,9.3,0
S01607,33,Left,289.1,101.8,93.1,62.4,48.6,42.6,42.8,32.2,29.6,30.9,35.21,0.11,28.8,12.2,1
S01608,20,Right,247.4,94.9,85.5,65.2,40.7,38.2,34.0,27.9,23.6,33.2,38.36,0.13,18.4,8.8,0
S01609,26,Left,276.6,110.4,88.7,73.0,45.7,37.2,34.7,34.9,28.5,32.0,39.91,0.12,19.0,9.5,1
S01610,21,Right,253.3,92.8,83.2,56.7,43.0,40.3,36.2,31.9,28.1,31.2,36.64,0.12,19.6,12.6,0
S01611,19,Right,256.8,85.0,86.2,62.5,41.5,38.0,33.8,33.2,28.1,26.6,33.1,0.1,24.0,11.3,0
S01612,34,Right,244.2,98.3,84.3,59.1,37.8,34.8,37.8,29.9,29.5,32.4,40.25,0.13,19.4,10.7,0
S01613,25,Right,225.7,100.1,83.8,62.4,36.6,31.6,32.5,28.8,26.2,29.7,44.35,0.13,20.4,10.7,0
S01614,23,Left,268.7,97.5,90.7,69.1,43.6,38.2,36.6,33.7,30.8,34.6,36.29,0.13,15.2,14.4,1
S01615,26,Right,257.6,100.7,96.8,69.2,40.8,38.7,34.1,30.6,29.2,32.3,39.09,0.12,27.4,10.0,1
S01616,18,Right,259.0,103.8,80.6,61.2,39.7,36.5,35.9,32.3,30.9,28.3,40.08,0.11,19.6,10.4,0
S01617,19,Right,236.3,91.7,84.4,59.5,38.5,32.9,31.8,28.6,27.4,29.1,38.81,0.12,18.7,12.4,0
S01618,21,Right,251.7,99.9,83.3,58.3,39.1,36.6,36.0,29.6,29.0,28.0,39.69,0.11,14.0,9.3,0
S01619,34,Right,236.8,103.5,84.3,60.9,35.9,36.0,35.4,28.7,27.6,26.2,43.71,0.11,19.0,9.4,0
S01620,27,Right,243.4,94.7,84.3,66.3,38.3,36.3,32.4,31.5,27.1,28.4,38.91,0.12,14.2,10.5,0
S01621,23,Left,269.3,105.0,91.2,65.4,41.9,41.1,35.9,36.7,27.9,29.4,38.99,0.11,18.8,11.8,1
S01622,21,Right,288.5,98.6,93.7,64.4,49.6,47.6,39.7,36.8,31.5,30.7,34.18,0.11,22.3,9.3,1
S01623,28,Right,233.2,83.1,88.2,62.3,37.7,30.8,30.5,27.2,27.8,26.6,35.63,0.11,21.7,9.4,0
S01624,31,Right,237.7,101.6,84.9,55.7,41.9,33.3,31.3,31.7,26.9,28.1,42.74,0.12,16.3,8.1,0
S01625,19,Left,270.1,104.9,96.1,70.9,43.6,38.3,37.8,34.8,29.4,30.2,38.84,0.11,20.6,13.3,1
S01626,24,Right,251.9,83.8,81.1,61.5,40.8,36.6,35.1,32.9,26.8,27.8,33.27,0.11,19.2,11.0,0
S01627,21,Left,280.2,96.6,97.7,71.1,39.9,44.3,40.4,34.1,31.8,34.6,34.48,0.12,25.7,13.0,1
S01628,21,Left,242.2,94.9,90.8,63.3,42.1,36.2,31.5,29.3,24.3,30.5,39.18,0.13,18.2,3.9,0
S01629,39,Right,263.2,110.5,87.0,67.1,41.1,40.2,32.7,32.1,29.3,30.3,41.98,0.12,23.8,8.9,1
S01630,18,Right,296.7,111.4,92.0,63.0,46.9,44.5,41.8,36.6,36.9,31.1,37.55,0.1,20.6,13.0,1
S01631,29,Right,235.8,95.8,88.9,60.9,35.9,33.6,28.5,29.3,27.0,28.6,40.63,0.12,16.5,9.0,0
S01632,22,Left,253.3,98.5,92.5,72.8,39.5,40.1,34.2,29.3,26.9,28.4,38.89,0.11,19.4,10.2,1
S01633,18,Right,263.2,86.7,81.0,59.2,43.9,38.1,36.2,33.5,27.3,27.1,32.94,0.1,18.0,8.5,0
S01634,18,Left,254.7,99.3,83.6,63.1,42.6,36.8,34.2,28.8,25.3,28.1,38.99,0.11,16.8,11.6,0
S01635,24,Left,251.4,89.4,81.5,59.9,38.7,37.2,33.0,30.9,24.3,25.6,35.56,0.1,17.8,7.3,0
S01636,18,Left,273.2,102.2,89.6,66.1,44.1,40.9,39.2,36.4,30.8,32.0,37.41,0.12,22.3,13.5,1
S01637,27,Right,269.3,92.9,95.8,64.6,45.2,39.3,34.8,33.0,31.7,30.2,34.5,0.11,25.2,13.9,1
S01638,20,Left,272.7,107.9,94.4,68.7,46.4,40.0,36.4,31.7,25.9,30.4,39.57,0.11,20.0,11.6,1
S01639,21,Right,232.1,89.4,90.0,65.6,34.5,31.9,28.2,27.3,23.7,28.3,38.52,0.12,16.2,11.4,0
S01640,25,Right,234.9,102.1,90.0,60.1,37.8,32.9,34.1,27.5,27.4,31.7,43.47,0.14,20.1,11.9,0
S01641,36,Right,248.2,94.2,82.6,59.6,36.7,37.6,35.0,28.8,24.2,26.8,37.95,0.11,21.7,9.5,0
S01642,22,Right,242.3,89.7,78.7,56.4,38.9,37.0,31.4,31.0,28.2,29.7,37.02,0.12,17.4,9.0,0
S01643,26,Left,236.4,89.7,79.9,57.2,38.1,34.9,31.7,29.0,28.1,32.8,37.94,0.14,17.8,9.6,0
S01644,18,Right,227.2,94.5,79.9,63.7,34.5,36.1,32.5,30.1,28.4,29.2,41.59,0.13,17.0,9.8,0
S01645,21,Right,261.5,94.5,95.9,63.1,44.0,39.1,34.0,30.1,27.1,29.1,36.14,0.11,25.6,11.9,1
S01646,18,Right,249.0,101.1,85.2,63.3,44.2,36.9,36.2,31.8,29.1,30.4,40.6,0.12,23.2,12.0,0
S01647,24,Right,263.3,101.9,101.5,63.8,39.6,41.1,35.0,35.8,28.4,30.2,38.7,0.12,23.5,13.7,1
S01648,37,Right,258.2,107.9,80.3,57.6,46.2,39.0,35.5,31.8,30.9,34.2,41.79,0.13,18.0,9.8,0
S01649,22,Left,253.8,88.4,83.7,57.6,42.7,37.5,35.4,32.3,26.6,29.1,34.83,0.12,23.0,9.8,0
S01650,23,Left,245.5,87.7,86.7,59.4,38.5,33.8,33.2,30.8,24.3,31.2,35.72,0.13,20.8,8.3,0
S01651,24,Right,280.0,106.3,97.6,68.6,45.8,42.1,36.5,34.7,32.2,31.9,37.96,0.11,26.9,10.8,1
S01652,21,Right,267.3,112.9,96.6,66.2,43.5,38.3,38.4,35.2,29.7,31.5,42.24,0.12,19.0,9.3,1
S01653,22,Left,269.0,104.4,92.3,63.9,43.6,40.8,35.0,33.0,29.2,30.7,38.81,0.11,21.8,12.6,1
S01654,32,Left,260.5,108.4,92.2,64.6,47.0,36.3,38.8,30.8,30.0,30.8,41.61,0.12,24.2,9.2,1
S01655,18,Left,279.2,110.4,95.4,67.6,44.7,42.4,39.0,31.8,29.2,32.9,39.54,0.12,22.7,11.6,1
S01656,35,Left,229.0,103.5,87.5,63.0,36.5,33.6,31.9,25.5,23.1,27.4,45.2,0.12,18.6,8.2,0
S01657,26,Left,246.0,97.1,93.0,58.8,38.6,38.3,33.3,30.0,28.9,29.5,39.47,0.12,19.5,9.3,0
S01658,19,Right,271.7,105.4,90.4,67.4,45.9,40.8,39.0,33.9,28.5,32.7,38.79,0.12,17.8,10.9,1
S01659,24,Left,277.8,113.5,103.5,68.2,41.9,48.5,40.0,36.5,29.6,30.8,40.86,0.11,19.5,13.3,1
S01660,22,Left,266.2,103.6,95.0,62.7,42.1,40.5,37.5,29.5,30.8,30.5,38.92,0.12,21.4,7.3,1
S01661,33,Right,247.1,99.5,79.1,55.6,39.7,34.9,33.4,29.1,27.4,27.0,40.27,0.11,21.2,7.9,0
S01662,25,Right,245.1,95.2,79.2,61.0,37.5,35.9,32.1,32.4,25.6,31.7,38.84,0.13,20.4,10.8,0
S01663,25,Right,234.8,98.1,80.3,59.9,37.8,33.6,31.5,28.4,23.7,27.8,41.78,0.12,20.6,8.1,0
S01664,20,Right,291.3,105.3,99.0,64.7,44.1,42.6,40.2,35.1,33.8,30.6,36.15,0.1,15.8,13.1,1
S01665,19,Right,240.7,93.8,83.6,57.8,39.5,34.9,31.5,27.4,24.3,27.0,38.97,0.11,19.0,9.0,0
S01666,21,Right,234.6,90.7,77.8,62.8,39.7,33.1,30.1,30.0,24.3,31.5,38.66,0.13,17.8,5.7,0
S01667,24,Left,262.9,100.1,98.2,68.0,41.0,42.8,37.4,33.6,29.1,28.7,38.08,0.11,22.1,15.2,1
S01668,18,Left,248.0,98.1,84.6,62.4,39.6,38.0,32.9,30.1,28.5,28.3,39.56,0.11,26.6,11.1,0
S01669,25,Right,279.8,109.9,92.1,66.7,44.5,40.2,37.5,35.0,28.7,27.7,39.28,0.1,24.7,12.6,1
S01670,18,Left,257.3,98.3,84.8,57.7,41.1,39.6,33.5,32.2,24.6,27.4,38.2,0.11,17.4,13.4,0
S01671,18,Left,274.8,99.1,89.9,67.3,43.6,41.0,34.6,35.2,31.1,33.2,36.06,0.12,22.9,16.5,1
S01672,37,Right,235.2,99.1,83.7,62.1,37.0,35.4,31.1,28.4,22.9,30.0,42.13,0.13,21.1,10.9,0
S01673,26,Right,235.9,94.8,83.8,58.5,37.9,34.1,30.9,29.6,26.2,31.0,40.19,0.13,26.1,5.8,0
S01674,28,Right,231.2,98.3,85.2,53.9,37.0,34.4,34.5,29.1,22.2,29.5,42.52,0.13,20.5,11.2,0
S01675,40,Right,238.6,100.7,88.3,57.5,38.2,34.1,30.1,30.7,28.2,28.1,42.2,0.12,20.7,13.1,0
S01676,31,Right,277.9,102.5,92.2,65.5,45.3,38.1,37.4,36.4,27.8,31.3,36.88,0.11,20.1,11.2,1
S01677,34,Right,250.2,105.4,92.9,66.1,39.1,36.6,33.1,29.1,22.7,33.1,42.13,0.13,14.0,12.7,1
S01678,30,Right,285.0,104.7,90.0,62.5,44.2,41.4,40.3,35.3,31.0,29.2,36.74,0.1,26.1,14.0,1
S01679,30,Left,269.3,113.4,95.2,67.8,46.5,40.8,36.6,34.4,31.6,32.0,42.11,0.12,20.5,12.8,1
S01680,20,Right,237.2,96.6,91.8,57.3,41.1,37.1,34.5,29.9,28.3,27.0,40.73,0.11,18.0,11.5,0
S01681,26,Left,268.2,101.0,91.0,68.0,43.7,40.5,37.7,34.1,34.2,32.8,37.66,0.12,18.9,12.1,1
S01682,18,Right,242.1,95.8,87.5,57.6,38.6,32.8,33.1,26.5,29.2,26.1,39.57,0.11,20.9,11.7,0
S01683,36,Left,266.3,101.2,90.2,57.8,41.3,38.4,36.8,32.5,30.1,26.4,38.0,0.1,16.8,8.2,0
S01684,20,Right,241.0,96.0,94.5,61.0,38.8,35.6,30.5,30.0,26.7,27.1,39.83,0.11,16.4,9.0,0
S01685,25,Left,264.5,103.5,95.9,66.3,41.4,35.5,34.3,31.4,30.9,30.2,39.13,0.11,23.5,10.4,1
S01686,18,Left,223.4,84.3,95.1,54.3,35.9,30.7,29.1,26.7,21.1,31.4,37.74,0.14,21.3,9.1,0
S01687,21,Right,258.1,98.4,89.4,60.4,41.0,38.6,34.4,33.8,30.7,30.1,38.12,0.12,15.0,11.4,0
S01688,32,Left,256.3,103.8,101.0,65.2,43.0,39.8,36.8,29.5,29.3,30.7,40.5,0.12,25.3,8.7,1
S01689,27,Right,247.7,92.5,82.8,62.5,40.3,37.6,33.3,33.7,26.6,30.8,37.34,0.12,13.8,9.9,0
S01690,22,Right,247.4,90.5,88.0,62.4,40.4,35.9,35.1,31.8,23.3,29.4,36.58,0.12,25.8,11.9,0
S01691,31,Left,261.6,110.2,88.4,61.4,41.5,40.1,36.7,32.6,30.1,32.6,42.13,0.12,22.2,13.2,1
S01692,29,Right,276.5,94.5,82.3,62.1,44.1,38.8,38.5,32.6,33.9,30.0,34.18,0.11,19.2,10.2,0
S01693,30,Right,272.2,106.9,88.8,72.2,43.7,39.5,33.4,34.0,30.1,28.4,39.27,0.1,19.0,15.4,1
S01694,22,Left,253.9,99.9,96.1,65.5,39.1,35.8,34.8,31.4,25.0,28.2,39.35,0.11,20.4,13.8,1
S01695,22,Right,252.3,111.3,85.9,65.1,40.7,39.6,32.4,29.9,30.4,35.6,44.11,0.14,27.1,15.4,1
S01696,27,Left,274.6,99.4,101.0,66.8,43.1,42.8,37.3,31.8,30.3,29.4,36.2,0.11,13.0,10.2,1
S01697,21,Left,256.1,105.0,92.7,61.4,41.0,41.5,35.4,30.6,28.7,30.6,41.0,0.12,19.0,9.8,1
S01698,25,Right,260.9,105.3,86.2,69.7,45.6,39.7,38.0,34.4,27.2,31.6,40.36,0.12,23.5,9.7,1
S01699,33,Left,238.9,81.6,80.2,58.1,40.6,37.5,34.2,31.5,29.6,30.1,34.16,0.13,23.3,10.9,0
S01700,31,Right,241.2,90.0,86.1,60.3,40.1,35.4,32.3,29.5,24.8,31.9,37.31,0.13,23.4,7.6,0
S01701,29,Right,222.9,98.3,77.7,61.2,35.4,31.8,32.5,27.0,23.9,28.4,44.1,0.13,24.7,10.2,0
S01702,24,Right,268.8,102.3,100.4,72.2,43.2,38.5,34.7,34.1,26.9,28.6,38.06,0.11,20.5,13.0,1
S01703,33,Left,273.0,109.2,90.5,62.4,41.8,40.6,38.1,36.9,27.4,29.9,40.0,0.11,26.9,8.8,1
S01704,26,Left,256.8,101.0,84.4,61.5,42.0,36.5,34.2,33.2,27.2,31.0,39.33,0.12,23.9,12.3,0
S01705,36,Left,268.9,101.6,97.7,67.1,44.3,41.5,38.3,29.9,31.0,29.7,37.78,0.11,22.8,11.1,1
S01706,22,Right,264.0,95.6,87.7,65.5,40.6,38.0,38.0,30.0,32.2,29.4,36.21,0.11,18.3,11.7,1
S01707,33,Left,236.5,99.5,82.2,59.7,36.8,34.8,35.1,33.5,25.2,28.0,42.07,0.12,21.3,10.2,0
S01708,29,Right,258.2,98.0,102.0,67.1,42.5,38.2,35.2,31.9,26.1,28.0,37.96,0.11,23.2,12.4,1
S01709,30,Left,253.8,93.6,83.4,60.6,40.2,38.2,33.2,31.2,27.5,32.6,36.88,0.13,20.9,11.7,0
S01710,36,Left,258.7,95.1,87.3,61.4,40.4,36.7,36.6,30.5,27.8,28.3,36.76,0.11,21.1,11.4,0
S01711,18,Left,261.3,100.4,89.5,63.9,42.8,40.1,36.7,30.5,27.9,30.2,38.42,0.12,27.1,12.6,1
S01712,25,Left,259.3,102.8,96.4,68.9,42.7,37.1,33.6,32.5,30.1,31.0,39.65,0.12,26.4,12.1,1
S01713,24,Right,253.0,97.3,78.8,63.2,40.7,36.0,37.6,33.6,29.4,29.3,38.46,0.12,21.0,5.7,0
S01714,29,Right,283.7,108.9,90.2,65.6,41.0,42.1,40.9,35.2,32.5,32.1,38.39,0.11,21.0,7.1,1
S01715,33,Right,275.2,104.2,93.5,71.4,45.7,38.0,36.5,34.3,25.5,31.9,37.86,0.12,19.5,10.5,1
S01716,20,Left,250.4,90.8,87.4,54.7,37.8,40.3,31.9,27.6,25.1,32.5,36.26,0.13,14.6,8.1,0
S01717,18,Left,266.7,108.9,90.9,60.1,44.1,40.1,38.9,32.0,29.7,27.6,40.83,0.1,24.2,8.9,1
S01718,24,Left,239.3,90.4,95.3,59.3,36.7,35.6,33.8,29.4,26.8,31.0,37.78,0.13,17.1,10.4,0
S01719,21,Right,235.7,89.4,85.0,66.6,36.6,33.6,33.8,27.3,28.0,28.2,37.93,0.12,22.7,10.9,0
S01720,28,Left,279.4,104.9,94.6,67.0,45.7,39.8,39.7,35.3,30.1,30.0,37.54,0.11,24.5,11.7,1
S01721,20,Left,265.4,103.8,92.6,65.6,43.2,37.2,33.5,35.4,30.1,29.6,39.11,0.11,20.1,10.9,1
S01722,18,Right,259.0,109.0,101.5,68.8,40.6,40.8,35.9,31.3,31.1,30.6,42.08,0.12,17.7,11.4,1
S01723,28,Left,261.4,97.6,93.8,62.9,44.0,36.7,35.5,28.9,24.8,30.6,37.34,0.12,31.6,10.9,1
S01724,29,Left,250.3,98.4,100.5,64.9,34.9,36.0,31.3,31.1,27.4,31.1,39.31,0.12,21.9,11.3,1
S01725,18,Left,244.1,90.8,92.7,57.9,38.7,38.2,30.3,30.5,26.3,26.2,37.2,0.11,15.9,12.2,0
S01726,28,Left,269.2,116.0,98.7,66.5,43.1,39.9,34.5,32.5,28.4,31.5,43.09,0.12,19.6,11.7,1
S01727,22,Left,245.9,95.4,80.3,57.1,39.8,34.2,34.1,32.1,25.0,27.8,38.8,0.11,15.7,11.2,0
S01728,18,Left,233.7,83.0,93.2,57.1,37.7,34.3,33.3,29.2,26.0,23.7,35.52,0.1,17.5,11.5,0
S01729,28,Right,233.6,98.7,85.9,57.1,37.2,34.2,31.0,27.6,27.3,29.9,42.25,0.13,21.4,6.3,0
S01730,22,Right,238.6,94.0,87.2,61.6,35.6,34.4,31.8,30.6,23.6,30.4,39.4,0.13,16.6,10.5,0
S01731,31,Left,255.3,107.2,97.1,68.4,42.3,35.3,37.1,33.5,27.3,32.9,41.99,0.13,25.6,11.9,1
S01732,28,Right,244.7,94.7,84.2,58.8,37.7,33.4,35.7,29.5,26.7,28.7,38.7,0.12,23.3,13.9,0
S01733,25,Left,243.1,96.2,85.6,54.4,41.2,38.6,32.9,31.1,29.4,30.2,39.57,0.12,18.4,7.6,0
S01734,28,Left,234.5,118.5,92.7,67.8,37.0,38.2,34.0,32.5,26.7,32.8,50.53,0.14,18.9,11.5,1
S01735,30,Right,273.8,100.2,94.6,68.7,41.9,40.8,36.8,34.3,28.2,31.9,36.6,0.12,21.2,11.7,1
S01736,39,Left,257.1,98.3,81.1,57.0,41.7,39.8,35.2,29.0,26.1,30.4,38.23,0.12,19.0,10.2,0
S01737,31,Right,255.6,114.4,88.4,70.1,40.8,36.7,35.0,30.3,28.6,30.4,44.76,0.12,21.0,14.4,1
S01738,18,Right,280.2,96.7,97.0,67.4,45.7,42.2,38.4,35.1,28.3,29.7,34.51,0.11,27.3,13.3,1
S01739,31,Right,265.9,110.8,98.3,68.9,41.4,36.9,35.8,34.9,32.9,31.2,41.67,0.12,21.7,12.4,1
S01740,26,Left,263.0,100.7,93.7,63.1,42.5,37.4,37.8,31.6,25.3,33.8,38.29,0.13,22.6,12.1,1
S01741,31,Left,255.5,87.5,85.3,57.5,39.7,38.6,33.3,28.9,32.6,27.8,34.25,0.11,17.5,12.4,0
S01742,21,Left,230.1,90.3,85.9,60.3,38.1,34.3,31.9,30.1,25.6,30.4,39.24,0.13,17.7,8.6,0
